Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2017,Normal value,Not Available,Proportion of population covered by core Social Protection programs,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by core Social Protection programs,Rwanda,,,Percent,6.5
2018,Normal value,Not Available,Proportion of population covered by core Social Protection programs,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by core Social Protection programs,Rwanda,,,Percent,6.5
2017,Normal value,Not Available,Number of members of Pension and occupational Hazards,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Number of members of Pension and occupational Hazards,Rwanda,,,Number,484435.0
2018,Normal value,Not Available,Number of members of Pension and occupational Hazards,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Number of members of Pension and occupational Hazards,Rwanda,,,Number,560769.0
2017,Normal value,Not Available,Number of population covered by Medical scheme,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Number of population covered by Medical scheme,Rwanda,,,Number,376836.0
2018,Normal value,Not Available,Number of population covered by Medical scheme,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Number of population covered by Medical scheme,Rwanda,,,Number,432450.0
2017,Normal value,Not Available,Proportion of population covered by Community-Based Health Insurance (Coverage rate),Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by Community-Based Health Insurance (Coverage rate),Rwanda,,,Percent,84.2
2018,Normal value,Not Available,Proportion of population covered by Community-Based Health Insurance (Coverage rate),Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by Community-Based Health Insurance (Coverage rate),Rwanda,,,Percent,83.3
2017,Normal value,Not Available,Proportion of population covered by Health insurance,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by Health insurance,Rwanda,,,Percent,70.0
2018,Normal value,Not Available,Proportion of population covered by Health insurance,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by Health insurance,Rwanda,,,Percent,73.9
2017,Normal value,Not Available,Proportion of population covered by Health insurance,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by Health insurance,Rwanda,,Urban,Percent,73.8
2018,Normal value,Not Available,Proportion of population covered by Health insurance,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by Health insurance,Rwanda,,Urban,Percent,79.5
2017,Normal value,Not Available,Proportion of population covered by Health insurance,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by Health insurance,Rwanda,,Rural,Percent,69.2
2018,Normal value,Not Available,Proportion of population covered by Health insurance,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by Health insurance,Rwanda,,Rural,Percent,72.7
2017,Normal value,Not Available,Proportion of population covered by Health insurance,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by Health insurance,Rwanda,Male,,Percent,69.4
2018,Normal value,Not Available,Proportion of population covered by Health insurance,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by Health insurance,Rwanda,Male,,Percent,73.4
2017,Normal value,Not Available,Proportion of population covered by Health insurance,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by Health insurance,Rwanda,Female,,Percent,70.5
2018,Normal value,Not Available,Proportion of population covered by Health insurance,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Proportion of population covered by Health insurance,Rwanda,Female,,Percent,74.5
2018,Normal value,Not Available,Number of actively contributing women covered by Maternity Leave Benefits,Units,"MINALOC, RSSB, MIGEPROF, MOH, MINAGRI, MINEDUC",Annual,National,Number of actively contributing women covered by Maternity Leave Benefits,Rwanda,,,Number,164601.0
