Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2009,Normal value,Not Available,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],Rwanda,Boolean or binary measure,1
2010,Normal value,Not Available,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],Rwanda,Boolean or binary measure,1
2011,Normal value,Not Available,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],Rwanda,Boolean or binary measure,1
2012,Normal value,Not Available,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],Rwanda,Boolean or binary measure,1
2013,Normal value,Not Available,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],Rwanda,Boolean or binary measure,1
2014,Normal value,Not Available,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],Rwanda,Boolean or binary measure,1
2015,Normal value,Not Available,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],Rwanda,Boolean or binary measure,1
2016,Normal value,Not Available,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],Rwanda,Boolean or binary measure,1
2017,Normal value,Not Available,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],Rwanda,Boolean or binary measure,1
2018,Normal value,Not Available,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],Rwanda,Boolean or binary measure,1
2019,Normal value,Not Available,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],Rwanda,Boolean or binary measure,1
2020,Normal value,Not Available,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],Rwanda,Boolean or binary measure,1
