Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2018,Normal value,Not Available,Fatal occupational injuries among employees (rate),Units,RSSB,Annual,National,Fatal occupational injuries among employees (rate) [8.8.1],Rwanda,,Percent,6
2019,Normal value,Not Available,Fatal occupational injuries among employees (rate),Units,RSSB,Annual,National,Fatal occupational injuries among employees (rate) [8.8.1],Rwanda,,Percent,5
2018,Normal value,Not Available,Fatal occupational injuries among employees (rate),Units,RSSB,Annual,National,Fatal occupational injuries among employees (rate) [8.8.1],Rwanda,Male,Percent,7
2019,Normal value,Not Available,Fatal occupational injuries among employees (rate),Units,RSSB,Annual,National,Fatal occupational injuries among employees (rate) [8.8.1],Rwanda,Male,Percent,5
2018,Normal value,Not Available,Fatal occupational injuries among employees (rate),Units,RSSB,Annual,National,Fatal occupational injuries among employees (rate) [8.8.1],Rwanda,Female,Percent,0
2019,Normal value,Not Available,Fatal occupational injuries among employees (rate),Units,RSSB,Annual,National,Fatal occupational injuries among employees (rate) [8.8.1],Rwanda,Female,Percent,4
2018,Normal value,Not Available,Non-fatal occupational injuries among employees (rate),Units,RSSB,Annual,National,Non-fatal occupational injuries among employees (rate) [8.8.1],Rwanda,,Percent,94
2019,Normal value,Not Available,Non-fatal occupational injuries among employees (rate),Units,RSSB,Annual,National,Non-fatal occupational injuries among employees (rate) [8.8.1],Rwanda,,Percent,95
2018,Normal value,Not Available,Non-fatal occupational injuries among employees (rate),Units,RSSB,Annual,National,Non-fatal occupational injuries among employees (rate) [8.8.1],Rwanda,Male,Percent,93
2019,Normal value,Not Available,Non-fatal occupational injuries among employees (rate),Units,RSSB,Annual,National,Non-fatal occupational injuries among employees (rate) [8.8.1],Rwanda,Male,Percent,95
2018,Normal value,Not Available,Non-fatal occupational injuries among employees (rate),Units,RSSB,Annual,National,Non-fatal occupational injuries among employees (rate) [8.8.1],Rwanda,Female,Percent,100
2019,Normal value,Not Available,Non-fatal occupational injuries among employees (rate),Units,RSSB,Annual,National,Non-fatal occupational injuries among employees (rate) [8.8.1],Rwanda,Female,Percent,96
