Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2009,A,_X,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0,NISR,A,N,SG_STT_NSDSFND,RW,BOOL,1
2010,A,_X,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0,NISR,A,N,SG_STT_NSDSFND,RW,BOOL,1
2011,A,_X,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0,NISR,A,N,SG_STT_NSDSFND,RW,BOOL,1
2012,A,_X,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0,NISR,A,N,SG_STT_NSDSFND,RW,BOOL,1
2013,A,_X,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0,NISR,A,N,SG_STT_NSDSFND,RW,BOOL,1
2014,A,_X,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0,NISR,A,N,SG_STT_NSDSFND,RW,BOOL,1
2015,A,_X,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0,NISR,A,N,SG_STT_NSDSFND,RW,BOOL,1
2016,A,_X,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0,NISR,A,N,SG_STT_NSDSFND,RW,BOOL,1
2017,A,_X,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0,NISR,A,N,SG_STT_NSDSFND,RW,BOOL,1
2018,A,_X,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0,NISR,A,N,SG_STT_NSDSFND,RW,BOOL,1
2019,A,_X,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0,NISR,A,N,SG_STT_NSDSFND,RW,BOOL,1
2020,A,_X,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0,NISR,A,N,SG_STT_NSDSFND,RW,BOOL,1
