Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2013,A,_X,Death rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAF,RW,PER_100000_POP,2.9
2014,A,_X,Death rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAF,RW,PER_100000_POP,3.3
2015,A,_X,Death rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAF,RW,PER_100000_POP,5.2
2016,A,_X,Death rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAF,RW,PER_100000_POP,5.1
2017,A,_X,Death rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAF,RW,PER_100000_POP,4.6
2018,A,_X,Death rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAF,RW,PER_100000_POP,4.9
2019,A,_X,Death rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAF,RW,PER_100000_POP,5.4
2013,A,_X,Number of deaths rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAFN,RW,NUMBER,315.0
2014,A,_X,Number of deaths rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAFN,RW,NUMBER,366.0
2015,A,_X,Number of deaths rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAFN,RW,NUMBER,351.0
2016,A,_X,Number of deaths rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAFN,RW,NUMBER,593.0
2017,A,_X,Number of deaths rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAFN,RW,NUMBER,549.0
2018,A,_X,Number of deaths rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAFN,RW,NUMBER,597.0
2019,A,_X,Number of deaths rate due to road traffic injuries,0,"NISR, Statistical Yearbook",A,N,SH_STA_TRAFN,RW,NUMBER,673.0
