Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,Value
2016,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,,ISCED11_02,PT,52.7
2017,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,,ISCED11_02,PT,41.6
2018,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,,ISCED11_02,PT,47.3
2016,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,M,ISCED11_02,PT,55.7
2017,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,M,ISCED11_02,PT,41.3
2018,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,M,ISCED11_02,PT,50.3
2016,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,F,ISCED11_02,PT,49.2
2017,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,F,ISCED11_02,PT,41.6
2018,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,F,ISCED11_02,PT,46.5
2016,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,,ISCED11_1,PT,92.5
2017,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,,ISCED11_1,PT,92.6
2018,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,,ISCED11_1,PT,93.6
2016,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,M,ISCED11_1,PT,91.6
2017,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,M,ISCED11_1,PT,91.5
2018,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,M,ISCED11_1,PT,92.7
2016,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,F,ISCED11_1,PT,93.3
2017,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,F,ISCED11_1,PT,93.5
2018,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,F,ISCED11_1,PT,94.4
2016,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,,AGG_2_3,PT,53.3
2017,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,,AGG_2_3,PT,57.4
2018,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,,AGG_2_3,PT,59.7
2016,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,M,AGG_2_3,PT,55.3
2017,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,M,AGG_2_3,PT,59.5
2018,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,M,AGG_2_3,PT,61.8
2016,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,F,AGG_2_3,PT,48.9
2017,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,F,AGG_2_3,PT,52.5
2018,A,_X,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,0,MINEDUC,A,N,SE_TRA_GRDL,RW,F,AGG_2_3,PT,55.0
