Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2016,A,_X,"Number of victims of intentional homicide per 100,000 population",0,RGB,A,N,VC_IHR_PSRC,RW,PER_100000_POP,3.4
2017,A,_X,"Number of victims of intentional homicide per 100,000 population",0,RGB,A,N,VC_IHR_PSRC,RW,PER_100000_POP,4.0
2018,A,_X,"Number of victims of intentional homicide per 100,000 population",0,RGB,A,N,VC_IHR_PSRC,RW,PER_100000_POP,3.18
2019,A,_X,"Number of victims of intentional homicide per 100,000 population",0,RGB,A,N,VC_IHR_PSRC,RW,PER_100000_POP,3.26
2020,A,_X,"Number of victims of intentional homicide per 100,000 population",0,RGB,A,N,VC_IHR_PSRC,RW,PER_100000_POP,3.49
2016,A,_X,Number of victims of intentional homicide,0,RGB,A,N,VC_IHR_PSRCN,RW,NUMBER,392.0
2017,A,_X,Number of victims of intentional homicide,0,RGB,A,N,VC_IHR_PSRCN,RW,NUMBER,470.0
2018,A,_X,Number of victims of intentional homicide,0,RGB,A,N,VC_IHR_PSRCN,RW,NUMBER,285.0
2019,A,_X,Number of victims of intentional homicide,0,RGB,A,N,VC_IHR_PSRCN,RW,NUMBER,404.0
2020,A,_X,Number of victims of intentional homicide,0,RGB,A,N,VC_IHR_PSRCN,RW,NUMBER,442.0
