Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
2008,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
2009,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
2010,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
2011,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
2012,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
2013,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
2014,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
2015,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
2016,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
2017,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
2018,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
2019,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
2020,A,_X,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),0,MINECOFIN,A,N,_L_RW_120701_1,RW,BOOL,1
