Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,OCCUPATION,UNIT_MEASURE,Value
2017,A,_X,Average hourly earnings for Managers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_1,USD,2.7
2018,A,_X,Average hourly earnings for Managers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_1,USD,3.3
2019,A,_X,Average hourly earnings for Managers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_1,USD,3.6
2017,A,_X,Average hourly earnings for Managers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_1,USD,2.4
2018,A,_X,Average hourly earnings for Managers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_1,USD,2.6
2019,A,_X,Average hourly earnings for Managers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_1,USD,2.4
2017,A,_X,Average hourly earnings for Professionals,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_2,USD,1.6
2018,A,_X,Average hourly earnings for Professionals,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_2,USD,1.5
2019,A,_X,Average hourly earnings for Professionals,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_2,USD,1.4
2017,A,_X,Average hourly earnings for Professionals,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_2,USD,1.0
2018,A,_X,Average hourly earnings for Professionals,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_2,USD,1.0
2019,A,_X,Average hourly earnings for Professionals,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_2,USD,1.2
2017,A,_X,Average hourly earnings for Technicians and associate professions,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_3,USD,1.7
2018,A,_X,Average hourly earnings for Technicians and associate professions,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_3,USD,2.4
2019,A,_X,Average hourly earnings for Technicians and associate professions,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_3,USD,1.4
2017,A,_X,Average hourly earnings for Technicians and associate professions,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_3,USD,1.8
2018,A,_X,Average hourly earnings for Technicians and associate professions,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_3,USD,1.7
2019,A,_X,Average hourly earnings for Technicians and associate professions,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_3,USD,1.7
2017,A,_X,Average hourly earnings for Clerical Support workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_4,USD,1.0
2018,A,_X,Average hourly earnings for Clerical Support workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_4,USD,1.2
2019,A,_X,Average hourly earnings for Clerical Support workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_4,USD,1.1
2017,A,_X,Average hourly earnings for Clerical Support workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_4,USD,1.1
2018,A,_X,Average hourly earnings for Clerical Support workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_4,USD,1.3
2019,A,_X,Average hourly earnings for Clerical Support workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_4,USD,1.2
2017,A,_X,Average hourly earnings for Service and sales workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_5,USD,0.3
2018,A,_X,Average hourly earnings for Service and sales workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_5,USD,0.4
2019,A,_X,Average hourly earnings for Service and sales workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_5,USD,0.4
2017,A,_X,Average hourly earnings for Service and sales workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_5,USD,0.5
2018,A,_X,Average hourly earnings for Service and sales workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_5,USD,0.6
2019,A,_X,Average hourly earnings for Service and sales workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_5,USD,0.5
2017,A,_X,"Average hourly earnings for Skilled agriculture, forestry and fishery workers",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_6,USD,0.2
2018,A,_X,"Average hourly earnings for Skilled agriculture, forestry and fishery workers",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_6,USD,0.8
2019,A,_X,"Average hourly earnings for Skilled agriculture, forestry and fishery workers",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_6,USD,0.2
2017,A,_X,"Average hourly earnings for Skilled agriculture, forestry and fishery workers",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_6,USD,0.4
2018,A,_X,"Average hourly earnings for Skilled agriculture, forestry and fishery workers",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_6,USD,0.5
2019,A,_X,"Average hourly earnings for Skilled agriculture, forestry and fishery workers",0,"LFS, NISR",A,N,SL_EMP_EARN,RW,F,,ISCO08_6,USD,0.2
2017,A,_X,Average hourly earnings for Craft and related trades workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_7,USD,0.7
2018,A,_X,Average hourly earnings for Craft and related trades workers,0,"LFS, NISR",A,N,SL_EMP_EARN,RW,M,,ISCO08_7,USD,0.8
