Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2000,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,12.0
2001,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,11.0
2002,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,12.0
2003,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,10.0
2004,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,10.0
2005,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,10.0
2006,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,9.0
2007,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,8.0
2008,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,8.0
2009,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,8.0
2010,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,8.0
2011,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,8.0
2012,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,8.0
2013,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,7.0
2014,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,7.0
2015,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,7.0
2016,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,7.0
2017,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,8.0
2018,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,8.0
2019,Normal value,Not Available,Manufacturing value added as a proportion of GDP (%),Units,"National Accounts, NISR",Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],Rwanda,Percent,8.0
2000,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,26.307026
2001,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,22.859102
2002,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,23.911631
2003,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,23.066243
2004,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,24.87361
2005,Normal value,Not Available,Manufacturing value added per capita (USD),Units,"National Accounts, NISR",Annual,National,Manufacturing value added per capita [9.2.1],Rwanda,USD,29.378162
