Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2014,Normal value,Not Available,Mean time to Food market,Units,"EICV, NISR",Annual,National,Mean time to Food market,Rwanda,Minute,51.6
2017,Normal value,Not Available,Mean time to Food market,Units,"EICV, NISR",Annual,National,Mean time to Food market,Rwanda,Minute,50.0
2020,Normal value,Not Available,Mean time to Food market,Units,"EICV, NISR",Annual,National,Mean time to Food market,Rwanda,Minute,47.4
2014,Normal value,Not Available,Mean time to Primary School,Units,"EICV, NISR",Annual,National,Mean time to Primary School,Rwanda,Minute,25.6
2017,Normal value,Not Available,Mean time to Primary School,Units,"EICV, NISR",Annual,National,Mean time to Primary School,Rwanda,Minute,25.4
2020,Normal value,Not Available,Mean time to Primary School,Units,"EICV, NISR",Annual,National,Mean time to Primary School,Rwanda,Minute,22.7
2014,Normal value,Not Available,Mean time to Secondary,Units,"EICV, NISR",Annual,National,Mean time to Secondary,Rwanda,Minute,38.3
2017,Normal value,Not Available,Mean time to Secondary,Units,"EICV, NISR",Annual,National,Mean time to Secondary,Rwanda,Minute,44.4
2020,Normal value,Not Available,Mean time to Secondary,Units,"EICV, NISR",Annual,National,Mean time to Secondary,Rwanda,Minute,49.3
2014,Normal value,Not Available,Mean time to Health center,Units,"EICV, NISR",Annual,National,Mean time to Health center,Rwanda,Minute,56.9
2017,Normal value,Not Available,Mean time to Health center,Units,"EICV, NISR",Annual,National,Mean time to Health center,Rwanda,Minute,49.9
2020,Normal value,Not Available,Mean time to Health center,Units,"EICV, NISR",Annual,National,Mean time to Health center,Rwanda,Minute,47.3
