Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,Value
2017,A,_X,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",0,"EICV, NISR",A,N,_L_RW_040501_1,RW,,,ISCED11_1,IX,1.01
2017,A,_X,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",0,"EICV, NISR",A,N,_L_RW_040501_1,RW,,U,ISCED11_1,IX,0.95
2017,A,_X,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",0,"EICV, NISR",A,N,_L_RW_040501_1,RW,,R,ISCED11_1,IX,1.02
2017,A,_X,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",0,"EICV, NISR",A,N,_L_RW_040501_2,RW,,,ISCED11_1,IX,0.99
2017,A,_X,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",0,"EICV, NISR",A,N,_L_RW_040501_2,RW,,U,ISCED11_1,IX,0.92
2017,A,_X,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",0,"EICV, NISR",A,N,_L_RW_040501_2,RW,,R,ISCED11_1,IX,1.0
2017,A,_X,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",0,"EICV, NISR",A,N,_L_RW_040501_3,RW,,,ISCED11_1,IX,0.86
2017,A,_X,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",0,"EICV, NISR",A,N,_L_RW_040501_3,RW,,U,ISCED11_1,IX,0.95
2017,A,_X,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",0,"EICV, NISR",A,N,_L_RW_040501_3,RW,,R,ISCED11_1,IX,0.85
2017,A,_X,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",0,"EICV, NISR",A,N,_L_RW_040501_4,RW,,,ISCED11_1,IX,1.06
2017,A,_X,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",0,"EICV, NISR",A,N,_L_RW_040501_4,RW,,U,ISCED11_1,IX,1.0
