Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2000,Normal value,Not Available,"Number of new HIV infections per 1,000 uninfected population",Units,Ministry of Health (MoH),Annual,National,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",Rwanda,"Per 1,000 uninfected population",3.8
2001,Normal value,Not Available,"Number of new HIV infections per 1,000 uninfected population",Units,Ministry of Health (MoH),Annual,National,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",Rwanda,"Per 1,000 uninfected population",3.7
2002,Normal value,Not Available,"Number of new HIV infections per 1,000 uninfected population",Units,Ministry of Health (MoH),Annual,National,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",Rwanda,"Per 1,000 uninfected population",3.6
2003,Normal value,Not Available,"Number of new HIV infections per 1,000 uninfected population",Units,Ministry of Health (MoH),Annual,National,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",Rwanda,"Per 1,000 uninfected population",3.4
2004,Normal value,Not Available,"Number of new HIV infections per 1,000 uninfected population",Units,Ministry of Health (MoH),Annual,National,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",Rwanda,"Per 1,000 uninfected population",3.2
2005,Normal value,Not Available,"Number of new HIV infections per 1,000 uninfected population",Units,Ministry of Health (MoH),Annual,National,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",Rwanda,"Per 1,000 uninfected population",3.1
2006,Normal value,Not Available,"Number of new HIV infections per 1,000 uninfected population",Units,Ministry of Health (MoH),Annual,National,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",Rwanda,"Per 1,000 uninfected population",3.0
2007,Normal value,Not Available,"Number of new HIV infections per 1,000 uninfected population",Units,Ministry of Health (MoH),Annual,National,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",Rwanda,"Per 1,000 uninfected population",2.9
2008,Normal value,Not Available,"Number of new HIV infections per 1,000 uninfected population",Units,Ministry of Health (MoH),Annual,National,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",Rwanda,"Per 1,000 uninfected population",2.9
2009,Normal value,Not Available,"Number of new HIV infections per 1,000 uninfected population",Units,Ministry of Health (MoH),Annual,National,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",Rwanda,"Per 1,000 uninfected population",2.9
2017,Normal value,Not Available,"Number of new HIV infections per 1,000 uninfected population",Units,Ministry of Health (MoH),Annual,National,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",Rwanda,"Per 1,000 uninfected population",2.7
