Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
2008,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
2009,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
2010,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
2011,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
2012,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
2013,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
2014,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
2015,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
2016,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
2017,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
2018,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
2019,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
2020,Normal value,Not Available,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Units,MINECOFIN,Annual,National,Existance of Public Procument User Guide/Law on public procument (1 = Yes; 0 = No),Rwanda,Boolean or binary measure,1
