Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2005,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Rwanda,,Percent,38.6
2008,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Rwanda,,Percent,52.0
2010,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Rwanda,,Percent,69.0
2015,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Rwanda,,Percent,91.0
2020,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Rwanda,,Percent,94.3
2015,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Rwanda,Urban,Percent,96.9
2020,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Rwanda,Urban,Percent,98.1
2015,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Rwanda,Rural,Percent,89.4
2020,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Rwanda,Rural,Percent,93.5
2015,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],City of Kigali,,Percent,94.5
2020,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],City of Kigali,,Percent,97.3
2015,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Southern Province,,Percent,90.1
2020,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Southern Province,,Percent,92.9
2015,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Western Province,,Percent,90.5
2020,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Western Province,,Percent,93.8
2015,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Northern Province,,Percent,92.2
2020,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Northern Province,,Percent,96.7
2015,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Eastern Province,,Percent,88.9
2020,Normal value,Not Available,Proportion of births attended by skilled health personnel,Units,"DHS, NISR",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Eastern Province,,Percent,93.0
