Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2014,Normal value,Not Available,Proportion of Women deputies in national parliament,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women deputies in national parliament,Rwanda,Female,Percent,56.4
2016,Normal value,Not Available,Proportion of Women deputies in national parliament,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women deputies in national parliament,Rwanda,Female,Percent,64.0
2018,Normal value,Not Available,Proportion of Women deputies in national parliament,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women deputies in national parliament,Rwanda,Female,Percent,61.0
2014,Normal value,Not Available,Proportion of Women senates in national parliament,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women senates in national parliament,Rwanda,Female,Percent,38.5
2016,Normal value,Not Available,Proportion of Women senates in national parliament,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women senates in national parliament,Rwanda,Female,Percent,38.0
2018,Normal value,Not Available,Proportion of Women senates in national parliament,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women senates in national parliament,Rwanda,Female,Percent,38.0
2014,Normal value,Not Available,Proportion of Women Governors and Mayor of Kigali City in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Governors and Mayor of Kigali City in local government,Rwanda,Female,Percent,25.0
2016,Normal value,Not Available,Proportion of Women Governors and Mayor of Kigali City in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Governors and Mayor of Kigali City in local government,Rwanda,Female,Percent,40.0
2018,Normal value,Not Available,Proportion of Women Governors and Mayor of Kigali City in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Governors and Mayor of Kigali City in local government,Rwanda,Female,Percent,40.0
2014,Normal value,Not Available,Proportion of Women District Mayors in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women District Mayors in local government,Rwanda,Female,Percent,6.6
2016,Normal value,Not Available,Proportion of Women District Mayors in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women District Mayors in local government,Rwanda,Female,Percent,16.7
2018,Normal value,Not Available,Proportion of Women District Mayors in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women District Mayors in local government,Rwanda,Female,Percent,26.7
2016,Normal value,Not Available,Proportion of Women District Vice Mayors in Charge of Economic Affairs in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women District Vice Mayors in Charge of Economic Affairs in local government,Rwanda,Female,Percent,20.0
2018,Normal value,Not Available,Proportion of Women District Vice Mayors in Charge of Economic Affairs in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women District Vice Mayors in Charge of Economic Affairs in local government,Rwanda,Female,Percent,16.7
2016,Normal value,Not Available,Proportion of Women District Vice Mayors in Charge of Social Affairs in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women District Vice Mayors in Charge of Social Affairs in local government,Rwanda,Female,Percent,76.7
2018,Normal value,Not Available,Proportion of Women District Vice Mayors in Charge of Social Affairs in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women District Vice Mayors in Charge of Social Affairs in local government,Rwanda,Female,Percent,66.7
2014,Normal value,Not Available,Proportion of Women Districts Consultative Council in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Districts Consultative Council in local government,Rwanda,Female,Percent,44.8
2016,Normal value,Not Available,Proportion of Women Districts Consultative Council in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Districts Consultative Council in local government,Rwanda,Female,Percent,45.2
2018,Normal value,Not Available,Proportion of Women Districts Consultative Council in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Districts Consultative Council in local government,Rwanda,Female,Percent,45.2
2016,Normal value,Not Available,Proportion of Women Sectors Consultative Council in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Sectors Consultative Council in local government,Rwanda,Female,Percent,42.5
2018,Normal value,Not Available,Proportion of Women Sectors Consultative Council in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Sectors Consultative Council in local government,Rwanda,Female,Percent,42.7
2016,Normal value,Not Available,Proportion of Women Cells Consultative Council in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Cells Consultative Council in local government,Rwanda,Female,Percent,34.5
2018,Normal value,Not Available,Proportion of Women Cells Consultative Council in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Cells Consultative Council in local government,Rwanda,Female,Percent,41.6
2014,Normal value,Not Available,Proportion of Women District Executive Secretaries in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women District Executive Secretaries in local government,Rwanda,Female,Percent,6.7
2016,Normal value,Not Available,Proportion of Women District Executive Secretaries in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women District Executive Secretaries in local government,Rwanda,Female,Percent,7.0
2018,Normal value,Not Available,Proportion of Women District Executive Secretaries in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women District Executive Secretaries in local government,Rwanda,Female,Percent,10.0
2014,Normal value,Not Available,Proportion of Women Sector Executive Secretaries in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Sector Executive Secretaries in local government,Rwanda,Female,Percent,9.1
2016,Normal value,Not Available,Proportion of Women Sector Executive Secretaries in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Sector Executive Secretaries in local government,Rwanda,Female,Percent,11.0
2018,Normal value,Not Available,Proportion of Women Sector Executive Secretaries in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Sector Executive Secretaries in local government,Rwanda,Female,Percent,17.0
2014,Normal value,Not Available,Proportion of Women Cell Executive Secretaries in local government,Units,"National Electoral Commission (NEC), GMO",Annual,National,Proportion of Women Cell Executive Secretaries in local government,Rwanda,Female,Percent,37.7
