Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2000,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2001,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2002,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2003,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2004,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2005,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2006,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2007,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2008,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2009,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2010,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2011,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2012,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
2013,Normal value,Not Available,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Units,NISR,Annual,National,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],Rwanda,Boolean or binary measure,1
