Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2016,Normal value,Not Available,"Number of victims of intentional homicide per 100,000 population",Units,RGB,Annual,National,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Rwanda,"Per 100,000 population",3.4
2017,Normal value,Not Available,"Number of victims of intentional homicide per 100,000 population",Units,RGB,Annual,National,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Rwanda,"Per 100,000 population",4.0
2018,Normal value,Not Available,"Number of victims of intentional homicide per 100,000 population",Units,RGB,Annual,National,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Rwanda,"Per 100,000 population",3.18
2019,Normal value,Not Available,"Number of victims of intentional homicide per 100,000 population",Units,RGB,Annual,National,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Rwanda,"Per 100,000 population",3.26
2020,Normal value,Not Available,"Number of victims of intentional homicide per 100,000 population",Units,RGB,Annual,National,"Number of victims of intentional homicide per 100,000 population [16.1.1]",Rwanda,"Per 100,000 population",3.49
2016,Normal value,Not Available,Number of victims of intentional homicide,Units,RGB,Annual,National,Number of victims of intentional homicide [16.1.1],Rwanda,Number,392.0
2017,Normal value,Not Available,Number of victims of intentional homicide,Units,RGB,Annual,National,Number of victims of intentional homicide [16.1.1],Rwanda,Number,470.0
2018,Normal value,Not Available,Number of victims of intentional homicide,Units,RGB,Annual,National,Number of victims of intentional homicide [16.1.1],Rwanda,Number,285.0
2019,Normal value,Not Available,Number of victims of intentional homicide,Units,RGB,Annual,National,Number of victims of intentional homicide [16.1.1],Rwanda,Number,404.0
2020,Normal value,Not Available,Number of victims of intentional homicide,Units,RGB,Annual,National,Number of victims of intentional homicide [16.1.1],Rwanda,Number,442.0
