Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Age,Degree of urbanisation,Education level,UNIT_MEASURE,Value
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",Rwanda,,,Primary education,Index,1.01
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",Rwanda,,Urban,Primary education,Index,0.95
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",Rwanda,,Rural,Primary education,Index,1.02
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",Rwanda,,,Primary education,Index,0.99
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",Rwanda,,Urban,Primary education,Index,0.92
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",Rwanda,,Rural,Primary education,Index,1.0
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",Rwanda,,,Primary education,Index,0.86
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",Rwanda,,Urban,Primary education,Index,0.95
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",Rwanda,,Rural,Primary education,Index,0.85
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",Rwanda,,,Primary education,Index,1.06
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",Rwanda,,Urban,Primary education,Index,1.0
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",Rwanda,,Rural,Primary education,Index,1.07
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",Rwanda,,,Secondary education (lower and upper secondary education),Index,1.18
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",Rwanda,,Urban,Secondary education (lower and upper secondary education),Index,0.99
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",Rwanda,,Rural,Secondary education (lower and upper secondary education),Index,1.23
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",Rwanda,,,Secondary education (lower and upper secondary education),Index,1.08
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",Rwanda,,Urban,Secondary education (lower and upper secondary education),Index,0.84
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",Rwanda,,Rural,Secondary education (lower and upper secondary education),Index,1.17
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Repetition rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Repetition rate",Rwanda,,,Secondary education (lower and upper secondary education),Index,1.32
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Repetition rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Repetition rate",Rwanda,,Urban,Secondary education (lower and upper secondary education),Index,1.7
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Repetition rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Repetition rate",Rwanda,,Rural,Secondary education (lower and upper secondary education),Index,1.19
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate",Rwanda,,,Secondary education (lower and upper secondary education),Index,0.95
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate",Rwanda,,Urban,Secondary education (lower and upper secondary education),Index,0.94
2017,Normal value,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate",Units,"EICV, NISR",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate",Rwanda,,Rural,Secondary education (lower and upper secondary education),Index,0.95
2017,Normal value,Not Available,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population aged 15 and above,Units,"EICV, NISR",Annual,National,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],Rwanda,15 years old and over,,,Index,0.89
2017,Normal value,Not Available,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population aged 15 and above,Units,"EICV, NISR",Annual,National,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],Rwanda,15 years old and over,Urban,,Index,0.92
2017,Normal value,Not Available,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population aged 15 and above,Units,"EICV, NISR",Annual,National,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],Rwanda,15 years old and over,Rural,,Index,0.89
