Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rwanda,Percent,28.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rwanda,Percent,30.4
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyaruguru,Percent,48.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyaruguru,Percent,55.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rusizi,Percent,48.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rusizi,Percent,53.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyamagabe,Percent,45.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyamagabe,Percent,50.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyamasheke,Percent,44.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyamasheke,Percent,48.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Kayonza,Percent,52.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Kayonza,Percent,45.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Gatsibo,Percent,43.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Gatsibo,Percent,43.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Musanze,Percent,30.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Musanze,Percent,36.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyagatare,Percent,41.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyagatare,Percent,35.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rutsiro,Percent,20.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rutsiro,Percent,30.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Karongi,Percent,26.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Karongi,Percent,30.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyabihu,Percent,22.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyabihu,Percent,28.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Gicumbi,Percent,20.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Gicumbi,Percent,28.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Muhanga,Percent,21.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Muhanga,Percent,26.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rulindo,Percent,21.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rulindo,Percent,26.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Gakenke,Percent,21.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Gakenke,Percent,25.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Huye,Percent,20.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Huye,Percent,25.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Ngororero,Percent,17.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Ngororero,Percent,22.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyarugenge,Percent,20.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Nyarugenge,Percent,21.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Burera,Percent,14.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Burera,Percent,20.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Gasabo,Percent,17.0
2019,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Gasabo,Percent,20.0
2009,Normal value,Not Available,Forest area as a proportion of total land area,Units,MoE,Annual,National,Forest area as a proportion of total land area [15.1.1],Rubavu,Percent,10.0
