Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2011,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Rwanda,,Index,0.24
2014,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Rwanda,,Index,0.17
2017,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Rwanda,,Index,0.15
2011,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Rwanda,Urban,Index,0.09
2014,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Rwanda,Urban,Index,0.07
2017,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Rwanda,Urban,Index,0.07
2011,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Rwanda,Rural,Index,0.27
2014,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Rwanda,Rural,Index,0.19
2017,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Rwanda,Rural,Index,0.17
2011,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],City of Kigali,,Index,0.12
2014,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],City of Kigali,,Index,0.07
2017,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],City of Kigali,,Index,0.07
2011,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Southern Province,,Index,0.29
2014,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Southern Province,,Index,0.21
2017,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Southern Province,,Index,0.19
2011,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Western Province,,Index,0.25
2014,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Western Province,,Index,0.19
2017,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Western Province,,Index,0.16
2011,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Northern Province,,Index,0.18
2014,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Northern Province,,Index,0.14
2017,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Northern Province,,Index,0.11
2011,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Eastern Province,,Index,0.26
2014,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Eastern Province,,Index,0.18
2017,Normal value,Not Available,Proportion of population living in poverty in all its dimensions according to national definitions,Units,"EICV-MPI Report, NISR",Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Eastern Province,,Index,0.17
