Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2000,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,,,,Percent,58.9
2005,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,,,,Percent,56.7
2011,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,,,,Percent,44.9
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,,,,Percent,39.1
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,,,,Percent,38.2
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,Male,16 years old and over,,Percent,33.2
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,Male,16 years old and over,,Percent,31.6
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,Female,16 years old and over,,Percent,35.9
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,Female,16 years old and over,,Percent,34.8
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,Male,under 15 years old,,Percent,44.7
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,Male,under 15 years old,,Percent,44.2
2014,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,Female,under 15 years old,,Percent,44.6
2017,Normal value,Not Available,Proportion of population living below the national poverty line,Units,"EICV, NISR",Annual,National,Proportion of population living below the national poverty line [1.2.1],Rwanda,Female,under 15 years old,,Percent,44.8
