Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Not Available,Suicide mortality rate,Units,RIB,Annual,National,Suicide mortality rate [3.4.2],Rwanda,"Per 100,000 population",1.39
2016,Normal value,Not Available,Suicide mortality rate,Units,RIB,Annual,National,Suicide mortality rate [3.4.2],Rwanda,"Per 100,000 population",1.56
2017,Normal value,Not Available,Suicide mortality rate,Units,RIB,Annual,National,Suicide mortality rate [3.4.2],Rwanda,"Per 100,000 population",1.63
2018,Normal value,Not Available,Suicide mortality rate,Units,RIB,Annual,National,Suicide mortality rate [3.4.2],Rwanda,"Per 100,000 population",1.88
2019,Normal value,Not Available,Suicide mortality rate,Units,RIB,Annual,National,Suicide mortality rate [3.4.2],Rwanda,"Per 100,000 population",1.93
2015,Normal value,Not Available,Number of deaths attributed to suicide,Units,RIB,Annual,National,Number of deaths attributed to suicide [3.4.2],Rwanda,Number,157.0
2016,Normal value,Not Available,Number of deaths attributed to suicide,Units,RIB,Annual,National,Number of deaths attributed to suicide [3.4.2],Rwanda,Number,181.0
2017,Normal value,Not Available,Number of deaths attributed to suicide,Units,RIB,Annual,National,Number of deaths attributed to suicide [3.4.2],Rwanda,Number,193.0
2018,Normal value,Not Available,Number of deaths attributed to suicide,Units,RIB,Annual,National,Number of deaths attributed to suicide [3.4.2],Rwanda,Number,228.0
2019,Normal value,Not Available,Number of deaths attributed to suicide,Units,RIB,Annual,National,Number of deaths attributed to suicide [3.4.2],Rwanda,Number,239.0
