Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Education level,UNIT_MEASURE,Value
2016,Normal value,Not Available,"Proportion of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning",Units,MINEDUC,Annual,National,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",Rwanda,,36 to 59 months old,Pre-primary education,Percent,63.1
2016,Normal value,Not Available,"Proportion of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning",Units,MINEDUC,Annual,National,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",Rwanda,Male,36 to 59 months old,Pre-primary education,Percent,62.6
2016,Normal value,Not Available,"Proportion of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning",Units,MINEDUC,Annual,National,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",Rwanda,Female,36 to 59 months old,Pre-primary education,Percent,63.6
2016,Normal value,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",Units,MINEDUC,Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",Rwanda,,under 5 years old,Pre-primary education,Percent,7.0
2016,Normal value,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",Units,MINEDUC,Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",Rwanda,Male,under 5 years old,Pre-primary education,Percent,6.3
2016,Normal value,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",Units,MINEDUC,Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",Rwanda,Female,under 5 years old,Pre-primary education,Percent,7.8
2016,Normal value,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",Units,MINEDUC,Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",Rwanda,,under 5 years old,Pre-primary education,Percent,92.3
2016,Normal value,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",Units,MINEDUC,Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",Rwanda,Male,under 5 years old,Pre-primary education,Percent,92.4
2016,Normal value,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",Units,MINEDUC,Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",Rwanda,Female,under 5 years old,Pre-primary education,Percent,92.2
2016,Normal value,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",Units,MINEDUC,Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",Rwanda,,under 5 years old,Pre-primary education,Percent,73.1
2016,Normal value,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",Units,MINEDUC,Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",Rwanda,Male,under 5 years old,Pre-primary education,Percent,72.9
2016,Normal value,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",Units,MINEDUC,Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",Rwanda,Female,under 5 years old,Pre-primary education,Percent,73.3
2016,Normal value,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Learning",Units,MINEDUC,Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Learning",Rwanda,,under 5 years old,Pre-primary education,Percent,85.7
